date_time(UTC:PDT+7),raw_pressure(cm),barocorrected_pressure(cm),adjusted_stage(cm),estimated_discharge(cms),water_temperature(deg_C),discharge_flag
2021-08-11 15:30:00,211.5312,211.5312,213.05571451483542,0.43517040027787657,11.15,0
2021-08-11 16:00:00,211.34832,211.34832,212.8728345148354,0.42901340265937743,11.25,0
2021-08-11 16:30:00,211.25688,211.25688,212.7813945148354,0.42594575403807233,11.32,0
2021-08-11 17:00:00,211.01304,211.01304,212.5375545148354,0.41780088552176486,11.62,0
2021-08-11 17:30:00,210.89112,210.89112,212.4156345148354,0.4137479101257582,11.97,0
2021-08-11 18:00:00,210.73872,210.73872,212.2632345148354,0.4087000196762068,12.23,0
2021-08-11 18:30:00,210.52536,210.52536,212.0498745148354,0.40166734034957846,12.64,0
2021-08-11 19:00:00,210.40344,210.40344,211.9279545148354,0.39766674981207706,13.14,0
2021-08-11 19:30:00,210.22056,210.22056,211.7450745148354,0.3916906427847177,13.67,0
2021-08-11 20:00:00,210.12912,210.12912,211.6536345148354,0.38871378142041435,14.54,0
2021-08-11 20:30:00,209.88528,209.88528,211.4097945148354,0.38081214270233454,15.28,0
2021-08-11 21:00:00,209.82432,209.82432,211.3488345148354,0.3788450961380405,16.0,0
2021-08-11 21:30:00,209.79384,209.79384,211.3183545148354,0.3778628313826769,16.47,0
2021-08-11 22:00:00,209.61096,209.61096,211.1354745148354,0.37198690924606903,16.53,0
2021-08-11 22:30:00,209.48904,209.48904,211.0135545148354,0.36808650816545924,16.44,0
2021-08-11 23:00:00,209.18424,209.18424,210.7087545148354,0.35839494292684027,16.38,0
2021-08-11 23:30:00,209.12328,209.12328,210.6477945148354,0.3564668687434244,16.24,0
2021-08-12 00:00:00,209.03184,209.03184,210.5563545148354,0.3535811861881255,16.1,0
2021-08-12 00:30:00,208.87944,208.87944,210.4039545148354,0.34878891155380626,15.9,0
2021-08-12 01:00:00,208.81848,208.81848,210.3429945148354,0.34687803911943454,15.64,0
2021-08-12 01:30:00,208.69656,208.69656,210.2210745148354,0.34306667975208355,15.44,0
2021-08-12 02:00:00,208.54416,208.54416,210.0686745148354,0.3383220209323213,15.27,0
2021-08-12 02:30:00,208.54416,208.54416,210.0686745148354,0.3383220209323213,15.04,0
2021-08-12 03:00:00,208.3308,208.3308,209.8553145148354,0.33171615979330016,14.84,0
2021-08-12 03:30:00,208.30032,208.30032,209.8248345148354,0.3307759714412275,14.67,0
2021-08-12 04:00:00,208.42224,208.42224,209.9467545148354,0.334541990753748,14.39,0
2021-08-12 04:30:00,208.60512,208.60512,210.1296345148354,0.34021727330512813,14.16,0
2021-08-12 05:00:00,208.75752,208.75752,210.2820345148354,0.3449706263453337,13.94,0
2021-08-12 05:30:00,208.87944,208.87944,210.4039545148354,0.34878891155380626,13.66,0
2021-08-12 06:00:00,209.15376,209.15376,210.6782745148354,0.35743047778092607,13.41,0
2021-08-12 06:30:00,209.18424,209.18424,210.7087545148354,0.35839494292684027,13.25,0
2021-08-12 07:00:00,209.2452,209.2452,210.7697145148354,0.36032643839629797,13.03,0
2021-08-12 07:30:00,209.27568,209.27568,210.8001945148354,0.36129346715138316,12.81,0
