Date_Time,lvl_cm,temp_C
2021-07-28 17:44:09,760.23,21.492
2021-07-28 18:14:09,761.42,24.4
2021-07-28 18:44:09,789.07,14.553
2021-07-28 19:14:09,789.7,14.521
2021-07-28 19:44:09,789.64,14.195
2021-07-28 20:14:09,789.55,14.091
2021-07-28 20:44:09,789.62,14.122
2021-07-28 21:14:09,789.48,14.251
2021-07-28 21:44:09,789.27,14.375
2021-07-28 22:14:09,789.15,14.57
2021-07-28 22:44:09,789.13,14.657
2021-07-28 23:14:09,788.87,14.733
2021-07-28 23:44:09,789.37,14.677
2021-07-29 00:14:09,790.38,14.463
2021-07-29 00:44:09,790.95,14.175
2021-07-29 01:14:09,791.24,13.945
2021-07-29 01:44:09,790.89,13.822
2021-07-29 02:14:09,790.63,13.751
2021-07-29 02:44:09,790.92,13.682
2021-07-29 03:14:09,792.13,13.573
2021-07-29 03:44:09,792.42,13.45
2021-07-29 04:14:09,792.5,13.285
2021-07-29 04:44:09,792.56,13.13
2021-07-29 05:14:09,793.38,12.935
2021-07-29 05:44:09,793.53,12.735
2021-07-29 06:14:09,793.47,12.546
2021-07-29 06:44:09,793.14,12.397
2021-07-29 07:14:09,792.93,12.254
2021-07-29 07:44:09,792.62,12.114
2021-07-29 08:14:09,792.24,11.963
2021-07-29 08:44:09,791.96,11.814
2021-07-29 09:14:09,791.76,11.667
2021-07-29 09:44:09,791.43,11.519
2021-07-29 10:14:09,791.38,11.371
2021-07-29 10:44:09,791.24,11.215
2021-07-29 11:14:09,791.04,11.057
2021-07-29 11:44:09,790.99,10.911
2021-07-29 12:14:09,790.74,10.744
2021-07-29 12:44:09,790.82,10.608
2021-07-29 13:14:09,790.85,10.464
2021-07-29 13:44:09,790.88,10.334
2021-07-29 14:14:09,790.89,10.222
2021-07-29 14:44:09,790.92,10.138
2021-07-29 15:14:09,790.87,10.107
2021-07-29 15:44:09,790.74,10.158
2021-07-29 16:14:09,790.62,10.321
2021-07-29 16:44:09,790.42,10.65
2021-07-29 17:14:09,790.33,11.076
2021-07-29 17:44:09,790.12,11.442
2021-07-29 18:14:09,790.15,11.875
2021-07-29 18:44:09,790.02,11.908
2021-07-29 19:14:09,790.2,11.82
2021-07-29 19:44:09,790.1,11.916
2021-07-29 20:14:09,790.76,12.109
2021-07-29 20:44:09,792.21,12.188
2021-07-29 21:14:09,791.55,12.123
2021-07-29 21:44:09,790.76,12.133
2021-07-29 22:14:09,790.58,12.218
2021-07-29 22:44:09,791.14,12.305
2021-07-29 23:14:09,796.63,12.427
2021-07-29 23:44:09,800.83,12.698
2021-07-30 00:14:09,801.6,12.893
2021-07-30 00:44:09,799.79,12.792
2021-07-30 01:14:09,798.25,12.497
2021-07-30 01:44:09,797.5,12.035
2021-07-30 02:14:09,796.91,11.632
2021-07-30 02:44:09,796.18,11.353
2021-07-30 03:14:09,795.69,11.217
2021-07-30 03:44:09,795.49,11.18
2021-07-30 04:14:09,795.21,11.175
2021-07-30 04:44:09,795.07,11.171
2021-07-30 05:14:09,794.89,11.175
2021-07-30 05:44:09,794.4,11.191
2021-07-30 06:14:09,794.02,11.211
2021-07-30 06:44:09,793.77,11.206
2021-07-30 07:14:09,793.45,11.19
2021-07-30 07:44:09,793.24,11.158
2021-07-30 08:14:09,792.98,11.12
2021-07-30 08:44:09,792.72,11.078
2021-07-30 09:14:09,792.52,11.043
2021-07-30 09:44:09,792.27,11.0
2021-07-30 10:14:09,791.9,10.953
2021-07-30 10:44:09,791.67,10.9
2021-07-30 11:14:09,791.55,10.838
2021-07-30 11:44:09,791.4,10.777
2021-07-30 12:14:09,791.28,10.708
2021-07-30 12:44:09,791.28,10.617
2021-07-30 13:14:09,791.42,10.523
2021-07-30 13:44:09,791.33,10.428
2021-07-30 14:14:09,791.36,10.334
2021-07-30 14:44:09,791.44,10.263
2021-07-30 15:14:09,791.57,10.249
2021-07-30 15:44:09,791.63,10.331
2021-07-30 16:14:09,791.62,10.459
2021-07-30 16:44:09,791.6,10.6
2021-07-30 17:14:09,791.73,10.853
2021-07-30 17:44:09,791.75,11.166
2021-07-30 18:14:09,791.73,11.577
2021-07-30 18:44:09,791.43,12.119
2021-07-30 19:14:09,791.25,12.65
2021-07-30 19:44:09,791.17,13.145
2021-07-30 20:14:09,791.2,13.43
2021-07-30 20:44:09,791.18,13.482
2021-07-30 21:14:09,790.99,13.843
2021-07-30 21:44:09,791.14,14.195
2021-07-30 22:14:09,791.02,14.183
2021-07-30 22:44:09,790.86,14.011
2021-07-30 23:14:09,790.76,13.886
2021-07-30 23:44:09,791.55,13.86
2021-07-31 00:14:09,791.37,13.822
2021-07-31 00:44:09,791.9,13.805
2021-07-31 01:14:09,792.03,13.816
2021-07-31 01:44:09,791.47,13.796
2021-07-31 02:14:09,791.29,13.727
2021-07-31 02:44:09,791.21,13.628
2021-07-31 03:14:09,791.3,13.519
2021-07-31 03:44:09,791.43,13.424
2021-07-31 04:14:09,791.56,13.33
2021-07-31 04:44:09,791.82,13.222
2021-07-31 05:14:09,791.88,13.096
2021-07-31 05:44:09,791.85,12.968
2021-07-31 06:14:09,791.83,12.828
2021-07-31 06:44:09,791.85,12.684
2021-07-31 07:14:09,791.86,12.534
2021-07-31 07:44:09,791.81,12.382
2021-07-31 08:14:09,791.68,12.23
2021-07-31 08:44:09,791.34,12.054
2021-07-31 09:14:09,791.39,11.876
2021-07-31 09:44:09,791.28,11.684
2021-07-31 10:14:09,791.15,11.493
2021-07-31 10:44:09,791.03,11.326
2021-07-31 11:14:09,790.92,11.145
2021-07-31 11:44:09,790.99,10.963
2021-07-31 12:14:09,791.06,10.771
2021-07-31 12:44:09,791.22,10.596
2021-07-31 13:14:09,791.52,10.421
2021-07-31 13:44:09,791.64,10.265
2021-07-31 14:14:09,791.73,10.147
2021-07-31 14:44:09,791.81,10.097
2021-07-31 15:14:09,792.03,10.078
2021-07-31 15:44:09,792.09,10.101
2021-07-31 16:14:09,792.12,10.225
2021-07-31 16:44:09,792.03,10.473
2021-07-31 17:14:09,792.15,10.876
2021-07-31 17:44:09,792.08,11.252
2021-07-31 18:14:09,792.0,11.673
2021-07-31 18:44:09,791.92,11.985
2021-07-31 19:14:09,791.85,12.095
2021-07-31 19:44:09,791.78,12.316
2021-07-31 20:14:09,791.73,12.606
2021-07-31 20:44:09,791.88,12.802
2021-07-31 21:14:09,791.88,12.975
2021-07-31 21:44:09,791.92,13.084
2021-07-31 22:14:09,791.72,13.095
2021-07-31 22:44:09,791.34,13.24
2021-07-31 23:14:09,791.35,13.528
2021-07-31 23:44:09,791.05,13.718
2021-08-01 00:14:09,790.85,13.818
2021-08-01 00:44:09,790.65,13.953
2021-08-01 01:14:09,790.71,14.07
2021-08-01 01:44:09,790.52,14.161
2021-08-01 02:14:09,790.66,14.197
2021-08-01 02:44:09,790.59,14.195
