date_time(UTC:PDT+7),raw_pressure(cm),barocorrected_pressure(cm),water_temperature(deg_C),discharge_flag
2021-07-26 19:30:00,792.26,33.61135760000013,15.767,4
2021-07-26 20:00:00,792.2814,33.58381200000008,15.588666666666667,4
2021-07-26 20:30:00,792.3898666666666,33.57297376666668,15.494173333333332,4
2021-07-26 21:00:00,792.2516666666667,33.627497066666706,15.501406666666666,4
2021-07-26 21:30:00,792.1871333333333,33.74141123333345,15.544379999999999,4
2021-07-26 22:00:00,791.9403333333333,33.56191143333342,15.605366666666667,4
2021-07-26 22:30:00,791.7116,33.26077940000005,15.673933333333334,4
2021-07-26 23:00:00,791.7598666666667,33.39775996666674,15.74536,4
2021-07-26 23:30:00,791.6716,33.199365700000044,15.816646666666667,4
2021-07-27 00:00:00,791.5772,33.25282219999997,15.884793333333333,4
2021-07-27 00:30:00,791.5386,33.23869500000012,15.952506666666666,4
2021-07-27 01:00:00,791.8438666666667,33.031052566666744,16.016226666666665,4
2021-07-27 01:30:00,791.6775333333333,33.23385063333342,16.066813333333332,4
2021-07-27 02:00:00,791.6527333333333,32.867451133333475,16.112813333333335,4
2021-07-27 02:30:00,791.7542,32.87612509999997,16.146686666666668,4
2021-07-27 03:00:00,792.1652,32.80378730000007,16.167839999999998,4
2021-07-27 03:30:00,792.7337333333334,32.70747623333341,16.17728,4
2021-07-27 04:00:00,793.8059333333333,33.26268833333347,16.174719999999997,4
2021-07-27 04:30:00,794.4981333333333,33.99261723333336,16.15017333333333,4
2021-07-27 05:00:00,794.6228666666667,34.376354366666874,16.109613333333332,4
2021-07-27 05:30:00,794.4844666666667,34.653991966666695,16.05562666666667,4
2021-07-27 06:00:00,794.0091333333334,34.57838103333347,15.994060000000001,4
2021-07-27 06:30:00,793.519,34.23712390000014,15.92678,4
2021-07-27 07:00:00,793.0190666666666,34.15628726666671,15.852786666666667,4
2021-07-27 07:30:00,792.6132,33.64233239999999,15.77322,4
2021-07-27 08:00:00,792.4600666666666,33.53304616666662,15.69008,4
2021-07-27 08:30:00,792.1546666666667,33.48257116666673,15.60608,4
2021-07-27 09:00:00,791.8331333333333,33.23649563333345,15.52422,4
2021-07-27 09:30:00,791.8142,33.075824000000125,15.44322,4
2021-07-27 10:00:00,792.0183333333333,33.21673593333344,15.36436,4
2021-07-27 10:30:00,792.1756,33.243480999999974,15.287786666666667,4
2021-07-27 11:00:00,792.2456666666667,33.18608516666677,15.211786666666667,4
2021-07-27 11:30:00,792.3884,33.27477440000007,15.137926666666667,4
2021-07-27 12:00:00,792.5327333333333,33.18049793333341,15.067066666666667,4
2021-07-27 12:30:00,792.7626,33.333887100000084,14.999206666666668,4
2021-07-27 13:00:00,793.0825333333333,33.47843203333332,14.933633333333333,4
2021-07-27 13:30:00,793.6793333333333,33.78767663333326,14.868633333333333,4
2021-07-27 14:00:00,794.5148666666666,34.3805213666667,14.805060000000001,4
2021-07-27 14:30:00,795.7401333333333,35.351882733333355,14.747053333333334,4
2021-07-27 15:00:00,797.3498000000001,36.76474730000007,14.693906666666667,4
2021-07-27 15:30:00,798.9100000000001,38.03943130000016,14.64262,4
2021-07-27 16:00:00,799.9106666666667,38.8025078666667,14.595186666666667,4
2021-07-27 16:30:00,800.3968,39.17239540000014,14.55418,4
2021-07-27 17:00:00,800.5927333333333,39.22149193333337,14.544426666666666,4
2021-07-27 17:30:00,800.7227333333333,39.127157933333365,14.573533333333334,4
2021-07-27 18:00:00,800.5888,39.003421600000024,14.611393333333334,4
2021-07-27 18:30:00,800.5984666666667,38.84075896666684,14.659806666666666,4
2021-07-27 19:00:00,800.5372666666667,38.85909556666684,14.731353333333333,4
2021-07-27 19:30:00,800.2146666666666,38.56606686666669,14.823193333333334,4
2021-07-27 20:00:00,800.0215333333333,38.16389503333346,14.9366,4
2021-07-27 20:30:00,799.9400666666667,38.07936926666673,15.0673,4
2021-07-27 21:00:00,799.7987333333333,38.035927133333416,15.210146666666667,4
2021-07-27 21:30:00,799.7072000000001,37.98926060000019,15.35044,4
2021-07-27 22:00:00,799.4546,37.71320750000007,15.499139999999999,4
2021-07-27 22:30:00,799.146,37.54940490000001,15.666406666666665,4
2021-07-27 23:00:00,798.9030666666666,37.25956536666672,15.838693333333334,4
2021-07-27 23:30:00,798.7330000000001,37.254690100000175,16.00356,4
2021-07-28 00:00:00,798.3476,36.96514190000016,16.173406666666665,4
2021-07-28 00:30:00,798.2028666666668,36.87343296666688,16.33927333333333,4
2021-07-28 01:00:00,798.0002666666667,36.8594774666667,16.496566666666666,4
2021-07-28 01:30:00,797.8201333333333,36.64569403333326,16.640153333333334,4
2021-07-28 02:00:00,797.7942666666667,36.501542166666695,16.759893333333334,4
2021-07-28 02:30:00,797.7429333333333,36.34619943333337,16.849780000000003,4
2021-07-28 03:00:00,797.7414,36.20700660000011,16.910093333333336,4
2021-07-28 03:30:00,797.7428666666667,36.068774366666844,16.944973333333333,4
2021-07-28 04:00:00,797.8612666666667,35.96895856666674,16.960133333333335,4
2021-07-28 04:30:00,797.9884666666667,35.706633166666734,16.951586666666667,4
2021-07-28 05:00:00,798.1198666666667,35.571891466666784,16.91918,4
2021-07-28 05:30:00,798.1671333333333,35.51718813333332,16.86662666666667,4
2021-07-28 06:00:00,798.1486,35.411980300000096,16.799353333333332,4
2021-07-28 06:30:00,798.1614,35.25652980000007,16.721933333333336,4
2021-07-28 07:00:00,798.1200666666666,35.22845256666676,16.637653333333333,4
2021-07-28 07:30:00,798.0215333333333,35.128899533333424,16.547373333333333,4
2021-07-28 08:00:00,797.7046666666666,35.0190319666666,16.453233333333333,4
2021-07-28 08:30:00,797.5186666666667,34.812637966666784,16.354666666666667,4
2021-07-28 09:00:00,797.4614666666668,34.79520626666681,16.253953333333335,4
2021-07-28 09:30:00,797.3786666666667,34.6481651666669,16.152240000000003,4
2021-07-28 10:00:00,797.2715333333333,34.57468193333341,16.051666666666666,4
2021-07-28 10:30:00,797.1758,34.50342139999998,15.953093333333333,4
2021-07-28 11:00:00,797.0715333333333,34.567405233333375,15.851526666666667,4
2021-07-28 11:30:00,797.0043333333333,34.57260393333331,15.748526666666667,4
2021-07-28 12:00:00,797.0756,34.60920080000005,15.643386666666666,4
2021-07-28 12:30:00,797.1599333333334,34.60685963333344,15.537386666666666,4
2021-07-28 13:00:00,797.4296666666667,34.756268366666745,15.431386666666667,4
2021-07-28 13:30:00,797.7368666666667,34.91357246666678,15.323246666666666,4
2021-07-28 14:00:00,798.0411333333334,35.291257533333464,15.216386666666667,4
2021-07-28 14:30:00,798.2940666666667,35.42386626666678,15.116806666666667,4
2021-07-28 15:00:00,798.5169333333333,35.61716163333335,15.034786666666667,4
2021-07-28 15:30:00,798.7868666666667,35.6780564666667,14.975906666666667,4
2021-07-28 16:00:00,798.977,35.80598810000015,14.941026666666666,4
2021-07-28 16:30:00,799.0057333333333,35.93873083333335,14.928006666666667,4
2021-07-28 17:00:00,798.9358,35.936097700000005,14.93884,4
2021-07-28 17:30:00,798.8957333333333,35.9551736333334,14.9654,4
2021-07-28 18:00:00,798.89,35.95657820000008,15.01252,4
2021-07-28 18:30:00,798.8828666666667,35.797509566666804,15.082926666666667,4
2021-07-28 19:00:00,799.2866,35.672018600000115,15.146373333333333,4
2021-07-28 19:30:00,799.45,35.89456120000011,15.19082,4
2021-07-28 20:00:00,799.2788,35.798819000000094,15.239093333333333,4
2021-07-28 20:30:00,799.1672,35.656627999999955,15.29466,4
2021-07-28 21:00:00,798.9859333333333,35.50085383333328,15.35166,4
2021-07-28 21:30:00,798.8415333333332,35.60933943333339,15.407946666666666,4
2021-07-28 22:00:00,798.7386666666666,35.557457766666744,15.463233333333333,4
2021-07-28 22:30:00,798.5816,35.49216410000008,15.511813333333333,4
2021-07-28 23:00:00,798.3017333333333,35.46926183333346,15.556386666666667,4
2021-07-28 23:30:00,798.4739333333333,35.387556533333395,15.593966666666667,4
2021-07-29 00:00:00,799.3076,35.60532439999997,15.6147,4
2021-07-29 00:30:00,799.8282666666667,35.60492436666675,15.614006666666667,4
2021-07-29 01:00:00,800.2695333333332,36.198126333333335,15.59916,4
2021-07-29 01:30:00,799.9677333333333,36.45818103333329,15.575453333333332,4
2021-07-29 02:00:00,799.4262,36.40508399999999,15.54232,4
2021-07-29 02:30:00,799.0731333333333,36.188657133333436,15.498473333333333,4
2021-07-29 03:00:00,798.883,36.01177990000008,15.443626666666667,4
2021-07-29 03:30:00,798.6902,35.87608310000007,15.376353333333332,4
2021-07-29 04:00:00,798.5658,35.736387599999944,15.298933333333332,4
2021-07-29 04:30:00,798.4686666666666,35.717771166666694,15.217506666666667,4
2021-07-29 05:00:00,798.4471333333333,35.78699113333346,15.131226666666667,4
2021-07-29 05:30:00,798.4928,35.89180040000008,15.041086666666667,4
2021-07-29 06:00:00,798.7097333333334,36.13320653333335,14.950086666666666,4
2021-07-29 06:30:00,803.4694666666667,41.03773726666668,14.860513333333333,4
2021-07-29 07:00:00,815.7076,53.375801199999955,14.765093333333335,4
2021-07-29 07:30:00,821.8102666666667,59.66099416666668,14.64284,4
2021-07-29 08:00:00,822.7326666666667,60.7628613666667,14.49586,4
