date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),discharge_flag
2022-10-20 22:30:00,24.597360000000002,5.661,0
2022-10-20 23:00:00,24.627840000000003,5.83,0
2022-10-20 23:30:00,24.627840000000003,5.987,0
2022-10-21 00:00:00,24.627840000000003,6.072,0
2022-10-21 00:30:00,24.597360000000002,6.09,0
2022-10-21 01:00:00,24.597360000000002,6.053,0
2022-10-21 01:30:00,24.597360000000002,5.97,0
2022-10-21 02:00:00,24.597360000000002,5.847,0
2022-10-21 02:30:00,24.5364,5.718,0
2022-10-21 03:00:00,24.56688,5.557,0
2022-10-21 03:30:00,24.56688,5.389,0
2022-10-21 04:00:00,24.5364,5.227,0
2022-10-21 04:30:00,24.5364,5.062,0
2022-10-21 05:00:00,24.5364,4.903,0
2022-10-21 05:30:00,24.5364,4.738,0
2022-10-21 06:00:00,24.56688,4.604,0
2022-10-21 06:30:00,24.56688,4.483,0
2022-10-21 07:00:00,24.5364,4.348,0
2022-10-21 07:30:00,24.56688,4.236,0
2022-10-21 08:00:00,24.505920000000003,4.12,0
2022-10-21 08:30:00,24.505920000000003,4.007,0
2022-10-21 09:00:00,24.505920000000003,3.909,0
2022-10-21 09:30:00,24.505920000000003,3.804,0
2022-10-21 10:00:00,24.505920000000003,3.707,0
2022-10-21 10:30:00,24.475440000000003,3.603,0
2022-10-21 11:00:00,24.475440000000003,3.493,0
2022-10-21 11:30:00,24.505920000000003,3.387,0
2022-10-21 12:00:00,24.475440000000003,3.296,0
2022-10-21 12:30:00,24.475440000000003,3.193,0
2022-10-21 13:00:00,24.475440000000003,3.089,0
2022-10-21 13:30:00,24.505920000000003,2.989,0
2022-10-21 14:00:00,24.505920000000003,2.902,0
2022-10-21 14:30:00,24.475440000000003,2.813,0
2022-10-21 15:00:00,24.505920000000003,2.742,0
2022-10-21 15:30:00,24.5364,2.674,0
2022-10-21 16:00:00,24.5364,2.638,0
2022-10-21 16:30:00,24.56688,2.653,0
2022-10-21 17:00:00,24.5364,2.92,0
2022-10-21 17:30:00,24.597360000000002,3.033,0
2022-10-21 18:00:00,24.56688,3.218,0
2022-10-21 18:30:00,24.597360000000002,3.498,0
2022-10-21 19:00:00,24.597360000000002,3.745,0
2022-10-21 19:30:00,24.597360000000002,4.011,0
2022-10-21 20:00:00,24.658320000000003,4.317,0
2022-10-21 20:30:00,24.597360000000002,4.676,0
2022-10-21 21:00:00,24.597360000000002,5.019,0
2022-10-21 21:30:00,24.56688,5.264,0
2022-10-21 22:00:00,24.627840000000003,5.456,0
2022-10-21 22:30:00,24.56688,5.658,0
2022-10-21 23:00:00,24.56688,5.808,0
2022-10-21 23:30:00,24.597360000000002,5.919,0
2022-10-22 00:00:00,24.597360000000002,5.966,0
2022-10-22 00:30:00,24.56688,5.973,0
2022-10-22 01:00:00,24.56688,5.925,0
2022-10-22 01:30:00,24.597360000000002,5.828,0
2022-10-22 02:00:00,24.597360000000002,5.691,0
2022-10-22 02:30:00,24.56688,5.51,0
2022-10-22 03:00:00,24.56688,5.322,0
2022-10-22 03:30:00,24.5364,5.126,0
2022-10-22 04:00:00,24.5364,4.942,0
2022-10-22 04:30:00,24.505920000000003,4.75,0
2022-10-22 05:00:00,24.505920000000003,4.558,0
2022-10-22 05:30:00,24.5364,4.389,0
2022-10-22 06:00:00,24.5364,4.199,0
2022-10-22 06:30:00,24.505920000000003,4.063,0
